GeneID,0h,1.8h,1.8h,1.8h,1.8h,1.8h,1.8h,3.6h,3.6h,3.6h,9.1h,10.9h,10.9h,12.7h,12.7h,14.5h,14.5h,14.5h,21.8h,29.0h,29.0h,29.0h,30.9h,30.9h,30.9h,32.7h,32.7h,41.7h,43.6h,43.6h,43.6h,43.6h,43.6h,52.6h,72.6h,74.4h,79.9h,87.1h,87.1h,87.1h,94.4h,96.2h
BV898_00004,0,0,4,3,2,18,0,0,1,7,53,0,0,0,1,0,7,0,14,1,5,2,0,0,4,4,4,6,6,15,8,20,9,0,0,22,0,0,14,0,5,2
BV898_00005,0,4,0,12,0,19,16,6,7,16,28,19,27,8,2,3,0,2,27,8,6,13,6,11,13,7,9,20,7,27,12,31,16,30,26,31,12,0,14,0,3,0
BV898_00006,64,8,8,18,13,32,1,17,11,30,39,14,48,12,8,43,52,11,8,14,14,6,12,10,14,4,17,33,10,59,23,51,20,0,0,8,58,25,11,1,18,11
BV898_00007,40,36,172,65,41,14,97,4,20,43,27,38,47,8,5,9,25,12,27,25,12,14,3,4,8,5,4,29,25,39,17,32,24,0,0,0,15,0,0,40,70,19
BV898_00008,0,35,15,22,6,18,6,2,8,7,19,9,23,2,4,6,21,1,3,4,4,6,1,4,0,1,2,2,0,4,2,8,7,0,0,0,0,0,7,0,6,0
BV898_00009,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,4,0,1,0,1,0,0,1,1,0,0,1,0,0,2,0,0,21,34,0,27,29,0,10
BV898_00010,80,40,95,71,11,39,64,9,11,27,49,1,31,3,13,32,86,13,4,23,19,11,0,1,5,2,4,21,13,75,19,83,45,30,0,0,11,0,33,36,79,50
BV898_00011,35,83,12,169,0,24,133,28,21,30,0,6,36,23,41,119,10,16,35,18,33,10,12,9,13,11,22,38,10,49,15,62,36,72,7,0,18,0,0,0,107,0
BV898_00012,4,3,16,25,12,0,17,4,7,11,31,1,3,3,3,6,18,1,4,7,9,10,7,5,2,6,4,2,2,3,4,3,4,0,0,0,0,0,0,0,0,0
BV898_00014,1,2,30,0,0,19,73,1,0,1,16,1,21,0,0,2,7,0,0,1,2,1,0,0,2,0,1,1,1,1,3,2,4,0,128,26,92,204,276,775,2245,635
BV898_00016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,27,0,0,0,0,0,1,0,0
BV898_00017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,3,0,1,2,0,2,0,3,1,0,86,197,34,0,0,0,4,20
BV898_00018,2,19,9,5,0,0,10,1,4,7,8,0,0,0,2,0,0,0,0,4,6,0,1,3,1,2,0,0,0,0,0,6,6,0,22,24,0,0,44,77,271,1
BV898_00019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,7,5,47,0,32,21,9,39,0,31,13
BV898_00020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,3,14,4,12,17,0,0,0,0,0,0,0,0,0
BV898_00022,0,0,0,0,0,0,0,0,1,5,0,0,3,1,0,0,0,0,0,0,1,0,1,0,2,0,3,2,2,13,8,52,83,60,0,0,0,50,0,38,44,26
BV898_00024,0,0,8,0,5,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,1,1,3,0,1,2,3,0,2,1,1,5,4,0,0,0,0,0,17,0,89,24
BV898_00027,0,0,0,2,0,0,5,2,9,5,6,4,0,0,0,6,5,1,1,4,3,0,1,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,9,9
BV898_00028,34,37,14,22,0,0,38,8,10,18,0,0,22,4,1,0,0,2,6,5,8,1,3,1,8,3,1,9,8,19,7,12,12,0,0,0,0,0,0,0,21,0
BV898_00029,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,19,0,0
BV898_00030,5,0,0,0,6,9,0,1,7,9,3,28,21,2,4,5,30,2,11,5,10,7,2,0,2,2,1,6,8,19,5,11,6,0,0,20,0,0,0,29,10,0
BV898_00032,0,0,0,0,0,0,10,0,10,5,0,0,6,0,0,0,9,1,4,0,3,1,2,0,0,2,3,21,2,13,2,19,9,0,0,24,0,0,0,0,0,0
BV898_00033,3,0,0,0,10,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,3,1,1,2,0,2,3,0,1,0,2,1,0,0,0,0,0,0,19,0,0
BV898_00034,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,1,1,1,0,0,5,0,0,6,3,5,1,5,0,0,0,0,0,0,0,0,0,29
BV898_00035,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,5,1,2,0,1,1,3,1,1,38,20,90,22,87,49,116,41,66,23,28,19,20,36,43
BV898_00037,0,0,2,39,0,0,0,0,0,2,0,0,0,2,0,5,1,0,0,1,1,0,1,2,0,0,0,12,8,19,5,16,14,0,81,105,12,8,14,0,44,98
BV898_00038,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,96,0,0,0,0,0,0,0
BV898_00039,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
BV898_00040,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,5,7,1,0,0,0,0,0,0,0,12,10
BV898_00041,5,45,13,0,0,17,0,4,17,9,27,0,0,0,0,1,0,0,3,9,17,5,0,1,3,0,0,20,6,22,10,18,16,24,0,0,36,0,0,20,15,0
BV898_00042,12,16,22,26,9,16,18,2,6,18,71,4,33,15,12,29,12,62,2,10,8,8,8,2,9,9,3,4,7,5,3,4,4,0,0,16,0,0,0,0,35,5
BV898_00043,149,124,4,194,170,33,179,45,31,68,139,42,36,20,23,76,187,152,36,38,20,21,11,10,17,10,14,88,34,109,35,89,60,0,17,18,0,0,0,22,61,115
BV898_00044,30,0,35,15,1,0,2,3,1,6,9,0,10,2,6,0,51,3,0,3,4,1,1,1,4,2,2,8,3,21,7,13,12,0,0,0,0,0,0,0,17,6
BV898_00045,8,0,0,0,0,0,0,0,3,0,16,0,0,1,1,8,0,5,2,0,0,0,0,1,0,1,3,12,2,2,2,11,2,33,0,0,0,0,0,0,12,0
BV898_00046,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,2,6,5,2,4,0,0,0,0,0,0,0,0,0
BV898_00048,0,0,10,0,0,0,0,1,2,0,0,0,0,0,2,34,0,0,0,0,0,0,0,0,1,0,4,21,29,68,32,117,103,0,0,75,0,20,0,16,168,49
BV898_00051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV898_00053,73,50,136,34,37,11,35,19,22,19,50,2,5,6,10,13,14,19,9,19,14,14,3,1,9,6,11,22,6,26,12,21,8,56,0,17,14,7,18,0,53,19
BV898_00054,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,5,0,0,0,0,0,0,0,16,0
BV898_00056,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,6,3,0,0,0,0,0,0,0,3,0
BV898_00057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,11,3,9,2,26,20,0,0,0,0,28,0,0
BV898_00058,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,7,10,12,0,0,0,0,0,0,0,0,0
BV898_00059,179,85,96,99,49,47,128,32,30,81,60,15,11,21,15,8,89,14,24,29,41,17,6,12,25,5,19,38,24,62,23,82,46,45,24,0,65,10,0,0,0,0
BV898_00061,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,4,1,0,0,0,17,48,18,17,54,11
BV898_00062,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,13,0
BV898_00063,0,0,0,0,0,13,0,0,2,0,1,0,0,0,0,0,0,0,2,2,1,1,0,0,0,2,0,1,0,3,0,3,0,0,12,32,14,0,0,0,0,0
BV898_00064,0,4,15,20,0,0,6,3,7,14,17,0,0,0,1,0,0,0,4,1,7,4,2,2,7,0,2,4,1,6,1,11,8,0,0,0,0,33,0,37,0,0
BV898_00065,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,1,21,27,72,19,88,91,0,25,0,0,0,0,23,5,0
BV898_00066,0,0,2,16,0,19,1,0,1,1,2,115,18,2,2,19,2,6,4,3,4,9,2,4,6,10,20,7,0,2,2,3,1,0,0,0,0,0,0,0,0,0
BV898_00067,73,30,6,74,6,9,89,20,27,55,46,0,15,2,2,20,20,11,5,29,24,11,1,6,19,2,5,18,5,8,3,11,3,0,0,0,0,0,0,0,49,87
BV898_00068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25,0,7,0,12,0,8,52
BV898_00069,0,1,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,4,2,3,4,0,0,0,0,0,0,0,0,0
BV898_00070,44,6,37,25,7,8,17,43,22,64,48,21,7,6,12,30,74,8,7,38,18,15,14,1,16,20,18,22,6,32,9,35,19,0,0,0,20,0,0,19,0,19
BV898_00071,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,0,1,0,0,0,0,41,22,0,0,0,0,0,0
BV898_00072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV898_00073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
BV898_00074,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,22,2,0,0,0,0,0,0,2,24,19,40,12,44,18,35,0,0,0,0,0,0,0,0
BV898_00076,573,381,943,216,41,345,497,38,121,291,386,357,25,7,18,365,579,102,83,95,290,106,36,27,173,29,225,93,23,55,24,88,48,182,0,187,32,82,0,13,23,0
BV898_00078,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,1,7,1,16,6,0,27,0,30,0,0,0,19,0
BV898_00079,31,71,61,123,17,38,64,15,48,39,18,24,0,5,4,1,30,6,5,39,26,12,6,5,9,9,7,12,10,17,11,9,3,0,0,0,0,0,0,0,9,0
BV898_00081,15,9,51,14,55,36,43,21,32,52,139,35,41,1,15,30,1,7,2,37,42,30,10,19,18,16,25,22,4,20,8,13,7,0,0,0,0,0,0,0,0,0
BV898_00082,25,15,43,3,28,1,57,6,4,9,11,0,1,2,1,2,33,1,0,5,3,2,1,0,2,2,5,2,2,4,3,5,1,0,0,0,0,0,0,11,24,0
BV898_00083,14,31,23,20,2,15,2,2,5,11,101,17,9,4,5,5,13,1,4,6,12,9,1,1,11,5,7,6,2,18,8,17,9,21,0,23,0,0,0,0,5,0
BV898_00084,115,73,37,84,37,25,114,27,27,51,6,50,0,9,12,82,41,17,22,21,38,34,24,14,17,20,30,14,9,20,9,25,12,26,0,0,23,0,8,14,16,34
BV898_00085,26,46,8,20,0,62,48,5,23,43,28,90,90,18,65,28,92,21,3,26,19,35,7,6,11,17,31,13,3,10,3,12,3,0,0,11,0,0,0,0,0,0
BV898_00086,37,53,65,76,29,56,102,10,19,37,13,10,1,5,5,35,122,6,7,18,14,14,9,4,13,5,8,10,10,32,10,30,19,58,0,0,17,3,0,0,22,0
BV898_00087,154,17,6,39,5,28,12,3,6,16,15,79,6,1,6,19,48,7,6,13,14,11,3,0,11,2,6,17,14,41,15,41,30,22,0,35,11,0,0,0,22,10
BV898_00088,190,130,145,314,47,111,375,22,55,79,128,43,74,11,33,44,274,17,25,58,48,29,1,9,31,6,13,30,14,53,22,58,19,0,0,0,0,0,0,0,7,20
BV898_00091,0,0,0,0,0,28,0,0,3,0,0,0,0,0,1,18,0,0,0,0,10,5,0,1,4,0,0,2,1,4,0,4,2,0,22,81,0,15,0,0,0,14
BV898_00092,3,0,11,0,0,0,0,0,3,0,0,0,26,0,0,0,0,3,0,1,0,1,0,0,1,0,0,6,2,3,0,16,4,0,0,12,10,0,37,10,27,4
BV898_00094,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,4,3,0,0,7,1,2,1,0,0,0,0,0,0,34,0,0
BV898_00095,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1,1,4,0,0,0,0,0,0,2,0,2,5,3,3,0,432,418,132,17,0,36,69,48
BV898_00096,0,0,0,7,0,0,0,0,1,0,0,4,0,1,1,9,20,0,9,2,0,0,0,0,1,0,0,15,6,16,9,14,8,0,0,11,0,0,0,0,0,0
BV898_00097,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,67,2,4,1,2,0,0,0,0,69,13,60,26,41,22,0,0,0,15,0,0,0,18,0
BV898_00098,14,1,38,95,65,6,30,10,21,11,23,17,25,1,2,15,8,2,11,12,11,8,4,3,1,4,13,3,3,14,1,7,4,0,0,0,0,0,0,0,2,14
BV898_00099,0,0,0,0,0,0,0,0,2,7,0,0,0,1,0,0,0,0,3,1,6,0,1,0,1,1,2,3,0,3,0,2,3,0,0,0,0,0,0,0,13,5
BV898_00100,16,21,8,73,6,1,36,2,2,10,11,0,0,1,1,2,6,0,1,8,4,3,0,1,1,1,0,1,2,0,1,2,2,0,0,0,8,0,0,0,9,31
BV898_00101,29,0,4,10,0,4,15,0,1,8,5,0,4,0,0,0,45,0,4,1,1,0,0,0,1,0,0,4,3,3,2,5,5,0,0,0,0,0,0,0,0,0
BV898_00102,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,29,16
BV898_00103,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,7,7,20,6,35,15,0,0,9,0,0,2,5,57,17
BV898_00106,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,8,6,0,0,0,36,12,0,0,46,5
BV898_00107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,31,61,253,85,52,112,23,78,71
BV898_00108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV898_00110,21,5,100,31,0,39,68,1,8,11,28,47,1,5,4,37,30,5,23,4,7,3,3,2,2,0,0,9,2,4,4,2,1,0,0,0,0,0,0,0,0,21
BV898_00111,8,28,55,131,16,0,70,5,17,22,22,4,0,1,1,37,0,2,1,6,6,7,2,5,5,3,3,8,2,0,1,4,3,0,0,0,0,0,0,9,3,0
BV898_00112,0,0,3,13,14,294,2,8,108,55,386,245,98,24,99,30,94,7,1,29,128,74,231,80,63,250,189,1,2,11,0,5,2,0,0,322,57,0,0,168,22,29
BV898_00113,14,28,22,38,1,23,35,4,11,7,47,1,63,1,8,1,8,4,1,13,3,8,1,0,5,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0
BV898_00114,137,111,103,182,39,127,211,43,72,109,93,54,22,12,10,55,151,10,24,45,51,32,14,5,31,14,20,38,22,58,32,58,35,33,0,0,0,0,0,13,7,14
BV898_00115,286,198,89,335,157,159,387,119,174,307,199,64,156,23,30,65,144,45,70,139,121,55,60,38,49,35,84,125,54,183,79,225,162,129,40,40,79,13,36,96,77,39
BV898_00116,13,33,36,21,8,206,77,15,112,70,477,76,122,14,23,99,2,30,2,54,142,84,113,84,79,84,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV898_00117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,3
BV898_00118,0,0,61,4,0,10,0,0,1,0,0,1,0,0,2,0,1,10,0,2,0,2,2,0,1,2,4,94,35,324,140,721,574,113,12,137,54,326,85,253,1623,553
BV898_00119,0,0,3,0,0,0,0,0,1,0,0,0,0,2,1,0,1,3,5,0,2,0,0,3,0,1,3,17,4,15,4,28,19,0,0,0,0,0,0,0,0,0
BV898_00121,21,46,22,85,16,10,24,3,16,14,64,0,9,3,9,18,0,4,8,11,21,12,6,4,9,3,3,12,3,22,3,20,12,0,0,0,0,0,0,0,5,15
BV898_00122,0,13,0,35,5,0,5,0,4,6,6,0,0,0,0,0,1,1,2,4,2,0,0,3,1,0,0,1,3,1,1,1,1,0,0,0,0,0,0,0,7,0
BV898_00123,61,44,62,80,63,37,66,7,25,16,58,64,27,11,26,55,186,24,29,15,11,9,2,2,4,4,4,32,14,33,16,26,19,0,0,0,7,0,0,0,86,22
BV898_00125,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,4,2,1,3,0,0,0,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
BV898_00127,0,15,1,0,8,0,0,0,2,1,1,85,0,0,0,0,22,0,0,0,4,0,7,4,0,1,1,3,0,0,0,0,0,0,0,0,0,95,103,650,423,19
BV898_00129,0,1,0,23,5,15,81,2,12,13,90,9,20,1,8,26,43,7,10,15,22,11,3,3,3,3,2,20,7,27,16,18,8,0,0,1,13,0,17,24,66,32
BV898_00130,6,0,33,25,0,0,13,3,3,6,19,0,1,5,3,5,17,5,5,3,9,1,2,1,0,1,3,2,1,8,1,10,7,0,0,0,0,0,0,0,26,13
BV898_00132,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,5,1,4,3,0,0,1,0,3,53,17,39,16,44,10,0,0,0,0,0,0,0,0,0
BV898_00133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,9,7,0,0,0,0,0,0,0,65,44
BV898_00134,0,7,0,0,0,0,0,0,0,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,11,5,18,4,35,0,0,0,0,0,20,73,0
BV898_00136,12,10,0,0,97,0,0,1,4,12,3,1,0,0,0,0,0,0,0,1,5,2,0,0,1,1,1,1,0,1,0,0,0,0,29,0,28,0,19,0,4,0
BV898_00137,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,25,0
BV898_00139,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0
BV898_00140,33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
BV898_00141,0,15,0,5,3,40,4,0,3,6,26,1,0,0,0,0,2,0,10,1,2,0,2,0,2,0,2,28,7,14,10,12,13,17,0,0,0,0,0,0,14,13
BV898_00142,0,23,11,15,23,4,31,3,0,0,79,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,1,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0
BV898_00143,18,7,37,62,2,28,17,6,16,19,83,46,45,2,33,3,20,4,0,13,8,16,2,6,14,4,20,0,0,2,0,3,2,0,0,0,0,0,0,0,0,0
BV898_00144,31,19,4,2,10,40,4,10,16,27,88,68,19,14,38,6,116,31,10,18,18,27,16,14,24,38,41,39,10,28,7,21,4,0,0,0,6,0,20,56,32,36
BV898_00145,1,9,13,19,0,0,15,5,6,7,4,0,0,2,2,0,15,0,1,5,3,5,2,5,3,2,4,1,1,2,1,3,3,0,0,0,0,0,0,0,49,0
BV898_00146,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
BV898_00148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,60,33,61,13
BV898_00149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0
BV898_00150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BV898_00151,0,0,0,6,0,0,1,0,0,0,0,1,0,1,0,0,14,0,19,5,0,0,0,0,0,0,0,5,10,3,8,3,2,0,42,61,0,79,39,181,116,69
BV898_00152,12,17,45,6,0,0,8,6,4,4,33,4,0,0,0,7,0,2,0,2,12,0,3,3,2,1,0,1,0,7,4,8,3,0,44,26,86,0,11,15,50,24
BV898_00153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,55,0,22,0,0,10,0
BV898_00155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,41,46,76,19
BV898_00159,88,16,14,71,36,35,68,10,19,19,67,12,9,7,7,22,14,4,8,16,10,7,2,1,7,2,4,12,4,20,5,11,7,25,0,0,0,0,0,0,0,6
BV898_00160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,23,0,0,0,0,32,2,0
BV898_00168,0,0,14,14,6,0,0,2,1,2,2,5,0,0,2,10,0,0,0,1,6,4,0,0,0,1,1,3,0,4,2,4,3,0,0,0,0,0,0,0,0,0
BV898_00169,158,77,54,91,36,49,275,43,81,134,79,46,57,8,36,84,59,33,31,82,61,40,19,11,21,8,25,71,44,155,37,186,112,0,0,25,0,14,19,27,93,0
BV898_00170,22,57,35,77,0,11,38,10,15,25,6,10,18,2,4,8,69,6,9,7,24,11,6,4,6,6,5,4,1,9,7,8,5,0,0,0,0,0,0,0,0,0
BV898_00171,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,14,15,0,0,0,10,0
