agehour,Cleavage,Gastrulation,Elongation,Segmentation,Limb-bud-pharynx,ganglia and midgut,morphologically distinction,Hatching
0h,1,0,0,0,0,0,0,0
1·8h,1,0,0,0,0,0,0,0
3·6h,1,0,0,0,0,0,0,0
9·1h,1,0,0,0,0,0,0,0
10·9h,1,0,0,0,0,0,0,0
12·7h,1,0,0,0,0,0,0,0
14·5h,0,1,0,0,0,0,0,0
16·3h,0,1,0,0,0,0,0,0
18·1h,0,0,1,0,0,0,0,0
21·8h,0,0,0,1,0,0,0,0
29·0h,0,0,0,0,1,0,0,0
30·9h,0,0,0,0,1,0,0,0
32·7h,0,0,0,0,1,0,0,0
36·3h,0,0,0,0,1,0,0,0
38·1h,0,0,0,0,0,1,0,0
41·7h,0,0,0,0,0,1,0,0
43·6h,0,0,0,0,0,1,0,0
52·6h,0,0,0,0,0,1,0,0
54·4h,0,0,0,0,0,0,1,0
56·3h,0,0,0,0,0,0,1,0
70·8h,0,0,0,0,0,0,1,0
72·6h,0,0,0,0,0,0,1,0
74·4h,0,0,0,0,0,0,1,0
79·9h,0,0,0,0,0,0,0,1
83·5h,0,0,0,0,0,0,0,1
87·1h,0,0,0,0,0,0,0,1
94·4h,0,0,0,0,0,0,0,1
96·2h,0,0,0,0,0,0,0,1
98·0h,0,0,0,0,0,0,0,1
