,0h,1·8h,3·6h,9·1h,10·9h,12·7h,14·5h,16·3h,18·1h,21·8h,29·0h,30·9h,32·7h,36·3h,38·1h,41·7h,43·6h,52·6h,54·4h,56·3h,70·8h,72·6h,74·4h,79·9h,83·5h,87·1h,94·4h,96·2h,98·0h
BV898_00004,0.0,10.177469893166666,9.350968972333332,65.59844346,0.0,4.7964851355,2.7764754786666668,47.52056074,11.974147815,106.9004223,12.568314469999999,9.85362441,37.27791218,23.53578027,90.704806615,43.63763309,93.653112814,0.0,0.0,0.0,0.0,0.0,129.4368907,0.0,42.10576969,44.93877093333333,13.22786317,10.70789922,0.0
BV898_00005,0.0,15.033124816333332,46.27534304333333,34.65578145,68.09411257000001,71.50097497,7.595225672999999,19.44022939,31.85774391,206.1651001,47.00813076333333,112.71087411333332,72.608585405,129.4467915,115.3701916,145.458777,144.79755032,332.7639373,77.97558955,302.40787209999996,0.0,329.5853563,182.388346,129.4065631,222.5590684,44.93877093333333,7.936717903,0.0,0.0
BV898_00006,110.1145363,30.652163017333333,101.03585618,48.27055273,99.50839983,131.233888135,87.02138228666666,100.4411852,46.965708910000004,61.08595558,54.14386373666667,137.90497943333335,85.197466285,141.2146816,166.4326062,240.006982,245.18713964,0.0,0.0,0.0,80.35290998,0.0,47.06796025,625.4650548,108.2719792,124.14563264333333,47.62030742,58.89344569,30.3939358
BV898_00007,68.8215852,130.624408045,89.51786562333332,33.41807497,123.90097021,85.89043038,47.12501516333333,42.12049702,72.621193355,206.1651001,84.95417585000001,52.80605926333334,42.911270675,58.83945067,178.78860037,210.9152266,242.85668505999996,0.0,57.45569755,0.0,0.0,0.0,0.0,161.7582038,0.0,78.9253524,185.1900844,101.7250426,203.6393699
BV898_00008,0.0,34.38314970366667,25.492235616666665,23.51642313,50.177868825,34.66294172,16.308200632666665,9.720114697,28.153275389,22.90723334,23.919011026666663,23.912024716666668,13.00559759,0.0,25.92904399,14.5458777,31.314577731999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.469385463333335,15.87343581,0.0,24.31514864
BV898_00010,137.6431704,94.39306163666667,73.52373980333333,60.64761754,55.50448177,85.569808515,95.09428844,47.52056074,14.822639322,30.54297779,85.60098357666668,17.146688476666668,26.011195185,58.83945067,37.817052436500006,152.7317158,340.77140302,332.7639373,342.93936540000004,0.0,0.0,0.0,0.0,118.6226828,198.4986286,176.95992006666665,209.0002381,267.6974804,109.4181689
BV898_00011,60.21888705,110.60476734666668,148.64914727,0.0,69.72857002,374.64140410000005,152.99716094,119.8814146,110.2412952,267.2510556,95.13037353333334,130.61191536333334,143.0615735,423.6440449,243.4240649,276.3716763,255.10611434000003,798.6334494,158.8271228,750.59524645,0.0,88.734519,0.0,194.1098446,228.5741783,0.0,283.0762719,0.0,0.0
BV898_00012,6.88215852,23.042796871833332,34.596860336666666,38.36890089,6.35546193,37.60495717,15.118282569333333,2.160025488,7.268656825,30.54297779,43.67391641,61.22885206666667,48.54462917,35.3036704,39.408399079999995,14.5458777,31.069832506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BV898_00014,1.72053963,32.100924789,4.144963607666667,19.80330369,37.95126039,0.0,4.6347694163333335,0.0,7.268656825,0.0,6.3946983993333335,4.926812203333333,3.686119548,11.76789013,6.739677543499999,7.272938849,22.1704817266,0.0,171.04459375,1914.5106755000002,1132.976031,1622.574062,152.9708708,992.1169835,1690.245898,3123.9203430000002,5939.310564,3399.758001,1805.399787
BV898_00018,3.44107926,12.74997832466667,16.69943255,9.901651843,0.0,9.59297027,0.0,0.0,9.691542435,0.0,14.891344026666667,21.545772855666666,11.26671699,0.0,0.0,0.0,17.733508483999998,0.0,0.0,0.0,369.6233859,278.8799168,141.2038808,0.0,198.4986286,293.1674405666667,716.9501839,5.353949609,72.94544592
